celltype	marker_gene
CD34_pos_HSC	CCNB1IP1
CD34_pos_HSC	NAP1L3
CD34_pos_HSC	CASC15
CD34_pos_HSC	ELMO1
CD34_pos_HSC	RASSF9
CD34_pos_HSC	HIST3H2A
CD34_pos_HSC	NYNRIN
CD34_pos_HSC	MYCNOS
CD34_pos_HSC	FBXW9
CD34_pos_HSC	HOXB3
CD34_pos_HSC	TAF1D
CD34_pos_HSC	SLC8A3
CD34_pos_HSC	CYYR1
CD34_pos_HSC	WASIR2
CD34_pos_HSC	BSPRY
CD34_pos_HSC	PCBD1
CD34_pos_HSC	EIF3D
CD34_pos_HSC	BEX4
CD34_pos_HSC	CCDC171
CD34_pos_HSC	FGD5
CD34_pos_HSC	MPDZ
CD34_pos_HSC	KIAA0087
CD34_pos_HSC	TMEM92
CD34_pos_HSC	FERMT1
CD34_pos_HSC	OBSL1
CD34_pos_HSC	ACOT11
CD34_pos_HSC	EID1
CD34_pos_HSC	HSD17B14
CD34_pos_HSC	TCEAL7
CD34_pos_HSC	ARHGAP22
CD34_pos_HSC	LINC02160
CD34_pos_HSC	XIRP2
CD34_pos_HSC	AKR1A1
CD34_pos_HSC	SV2A
CD34_pos_HSC	WASIR1
CD34_pos_HSC	LRBA
CD34_pos_HSC	CDH9
CD34_pos_HSC	ZNF667
CD34_pos_HSC	TMEM220
CD34_pos_HSC	ZNF462
CD34_pos_HSC	ZNRF1
CD34_pos_HSC	COL24A1
CD34_pos_HSC	RSL24D1
CD34_pos_HSC	PGM5
CD34_pos_HSC	ROBO3
CD34_pos_HSC	CNMD
CD34_pos_HSC	BMERB1
CD34_pos_HSC	C11orf1
CD34_pos_HSC	CAMLG
CD34_pos_HSC	TOM1L1
CD34_pos_HSC	TNNT3
CD34_pos_HSC	MMP28
CD34_pos_HSC	CD109
CD34_pos_HSC	CREB3L4
CD34_pos_HSC	ST8SIA6
CD34_pos_HSC	ZNF711
CD34_pos_HSC	SNHG12
CD34_pos_HSC	MYOZ3
CD34_pos_HSC	CLIP3
CD34_pos_HSC	CLDN15
CD34_pos_HSC	LINC00960
CD34_pos_HSC	PLCB4
CD34_pos_HSC	CACNA1C-AS2
CD34_pos_HSC	ABRAXAS1
CD34_pos_HSC	PHLDB2
CD34_pos_HSC	TIE1
CD34_pos_HSC	OXT
CD34_pos_HSC	TMED3
CD34_pos_HSC	ZFAND1
CD34_pos_HSC	TATDN1
CD34_pos_HSC	SMIM26
CD34_pos_HSC	SCARF1
CD34_pos_HSC	CHST13
CD34_pos_HSC	MDGA2
CD34_pos_HSC	THSD7A
CD34_pos_HSC	SEZ6L2
CD34_pos_HSC	TMEM173
CD34_pos_HSC	HMGA2-AS1
CD34_pos_HSC	RNF220
CD34_pos_HSC	SLC12A5
CD34_pos_HSC	GSTO2
CD34_pos_HSC	HOXB4
CD34_pos_HSC	AC117498.2
CD34_pos_HSC	LRRC75A
CD34_pos_HSC	FAM171B
CD34_pos_HSC	SPTLC3
CD34_pos_HSC	ZNF436-AS1
CD34_pos_HSC	ACR
CD34_pos_HSC	RABGAP1
CD34_pos_HSC	PRR16
CD34_pos_HSC	ZKSCAN1
CD34_pos_HSC	MEIS1-AS2
CD34_pos_HSC	ELN
CD34_pos_HSC	MIR99AHG
CD34_pos_HSC	LRCH2
CD34_pos_HSC	STK33
CD34_pos_HSC	ETFRF1
CD34_pos_HSC	MACC1
CD34_pos_HSC	BMPR1B
CD34_pos_HSC	EFCC1
CD34_pos_HSC	ZNF660
CD34_pos_HSC	CDCP1
CD34_pos_HSC	LINC02232
CD34_pos_HSC	KCNJ8
CD34_pos_HSC	IQGAP2
CD34_pos_HSC	SLC25A21-AS1
CD34_pos_HSC	BIVM
CD34_pos_HSC	ZNF334
CD34_pos_HSC	JCAD
CD34_pos_HSC	RBPMS-AS1
CD34_pos_HSC	MEF2C-AS1
CD34_pos_HSC	IQSEC3
CD34_pos_HSC	SLC10A5
CD34_pos_HSC	ZNF662
CD34_pos_HSC	C17orf50
CD34_pos_HSC	STARD9
